"quarter","exp_total","exp_primary","exp_personnel","exp_socialsec","exp_transfers"
NA,"Revision Policy","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Tags","General, Budget, Expenditures",NA,NA,NA
NA,"Datasource","Ministry of Treasury and Finance",NA,NA,NA
NA,"Metadata Link","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Revision Policy","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Tags","General, Budget, Expenditures",NA,NA,NA
NA,"Datasource","Ministry of Treasury and Finance",NA,NA,NA
NA,"Metadata Link","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Revision Policy","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Tags","General, Budget, Expenditures",NA,NA,NA
NA,"Datasource","Ministry of Treasury and Finance",NA,NA,NA
NA,"Metadata Link","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Revision Policy","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Tags","General, Budget, Expenditures",NA,NA,NA
NA,"Datasource","Ministry of Treasury and Finance",NA,NA,NA
NA,"Metadata Link","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Revision Policy","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Tags","General, Budget, Expenditures",NA,NA,NA
NA,"Datasource","Ministry of Treasury and Finance",NA,NA,NA
NA,"Metadata Link","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Revision Policy","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Tags","General, Budget, Expenditures",NA,NA,NA
NA,"Datasource","Ministry of Treasury and Finance",NA,NA,NA
NA,"Metadata Link","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Revision Policy","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Tags","General, Budget, Expenditures",NA,NA,NA
NA,"Datasource","Ministry of Treasury and Finance",NA,NA,NA
NA,"Metadata Link","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Revision Policy","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Tags","General, Budget, Expenditures",NA,NA,NA
NA,"Datasource","Ministry of Treasury and Finance",NA,NA,NA
NA,"Metadata Link","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Revision Policy","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Tags","General, Budget, Expenditures",NA,NA,NA
NA,"Datasource","Ministry of Treasury and Finance",NA,NA,NA
NA,"Metadata Link","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Revision Policy","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Tags","General, Budget, Expenditures",NA,NA,NA
NA,"Datasource","Ministry of Treasury and Finance",NA,NA,NA
NA,"Metadata Link","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Revision Policy","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Tags","General, Budget, Expenditures",NA,NA,NA
NA,"Datasource","Ministry of Treasury and Finance",NA,NA,NA
NA,"Metadata Link","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Revision Policy","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Tags","General, Budget, Expenditures",NA,NA,NA
NA,"Datasource","Ministry of Treasury and Finance",NA,NA,NA
NA,"Metadata Link","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Revision Policy","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Tags","General, Budget, Expenditures",NA,NA,NA
NA,"Datasource","Ministry of Treasury and Finance",NA,NA,NA
NA,"Metadata Link","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Revision Policy","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Tags","General, Budget, Expenditures",NA,NA,NA
NA,"Datasource","Ministry of Treasury and Finance",NA,NA,NA
NA,"Metadata Link","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Revision Policy","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Tags","General, Budget, Expenditures",NA,NA,NA
NA,"Datasource","Ministry of Treasury and Finance",NA,NA,NA
NA,"Metadata Link","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Revision Policy","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Tags","General, Budget, Expenditures",NA,NA,NA
NA,"Datasource","Ministry of Treasury and Finance",NA,NA,NA
NA,"Metadata Link","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Revision Policy","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Tags","General, Budget, Expenditures",NA,NA,NA
NA,"Datasource","Ministry of Treasury and Finance",NA,NA,NA
NA,"Metadata Link","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Revision Policy","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Tags","General, Budget, Expenditures",NA,NA,NA
NA,"Datasource","Ministry of Treasury and Finance",NA,NA,NA
NA,"Metadata Link","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Revision Policy","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Tags","General, Budget, Expenditures",NA,NA,NA
NA,"Datasource","Ministry of Treasury and Finance",NA,NA,NA
NA,"Metadata Link","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Revision Policy","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Tags","General, Budget, Expenditures",NA,NA,NA
NA,"Datasource","Ministry of Treasury and Finance",NA,NA,NA
NA,"Metadata Link","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Revision Policy","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Tags","General, Budget, Expenditures",NA,NA,NA
NA,"Datasource","Ministry of Treasury and Finance",NA,NA,NA
NA,"Metadata Link","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Revision Policy","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Tags","General, Budget, Expenditures",NA,NA,NA
NA,"Datasource","Ministry of Treasury and Finance",NA,NA,NA
NA,"Metadata Link","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Revision Policy","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Tags","General, Budget, Expenditures",NA,NA,NA
NA,"Datasource","Ministry of Treasury and Finance",NA,NA,NA
NA,"Metadata Link","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Revision Policy","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Tags","General, Budget, Expenditures",NA,NA,NA
NA,"Datasource","Ministry of Treasury and Finance",NA,NA,NA
NA,"Metadata Link","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Revision Policy","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Tags","General, Budget, Expenditures",NA,NA,NA
NA,"Datasource","Ministry of Treasury and Finance",NA,NA,NA
NA,"Metadata Link","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Revision Policy","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Tags","General, Budget, Expenditures",NA,NA,NA
NA,"Datasource","Ministry of Treasury and Finance",NA,NA,NA
NA,"Metadata Link","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Revision Policy","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Tags","General, Budget, Expenditures",NA,NA,NA
NA,"Datasource","Ministry of Treasury and Finance",NA,NA,NA
NA,"Metadata Link","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Revision Policy","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Tags","General, Budget, Expenditures",NA,NA,NA
NA,"Datasource","Ministry of Treasury and Finance",NA,NA,NA
NA,"Metadata Link","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Revision Policy","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Tags","General, Budget, Expenditures",NA,NA,NA
NA,"Datasource","Ministry of Treasury and Finance",NA,NA,NA
NA,"Metadata Link","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Revision Policy","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Tags","General, Budget, Expenditures",NA,NA,NA
NA,"Datasource","Ministry of Treasury and Finance",NA,NA,NA
NA,"Metadata Link","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Revision Policy","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Tags","General, Budget, Expenditures",NA,NA,NA
NA,"Datasource","Ministry of Treasury and Finance",NA,NA,NA
NA,"Metadata Link","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Revision Policy","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Tags","General, Budget, Expenditures",NA,NA,NA
NA,"Datasource","Ministry of Treasury and Finance",NA,NA,NA
NA,"Metadata Link","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Revision Policy","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Tags","General, Budget, Expenditures",NA,NA,NA
NA,"Datasource","Ministry of Treasury and Finance",NA,NA,NA
NA,"Metadata Link","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Revision Policy","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Tags","General, Budget, Expenditures",NA,NA,NA
NA,"Datasource","Ministry of Treasury and Finance",NA,NA,NA
NA,"Metadata Link","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Revision Policy","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Tags","General, Budget, Expenditures",NA,NA,NA
NA,"Datasource","Ministry of Treasury and Finance",NA,NA,NA
NA,"Metadata Link","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Revision Policy","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Tags","General, Budget, Expenditures",NA,NA,NA
NA,"Datasource","Ministry of Treasury and Finance",NA,NA,NA
NA,"Metadata Link","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Revision Policy","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Tags","General, Budget, Expenditures",NA,NA,NA
NA,"Datasource","Ministry of Treasury and Finance",NA,NA,NA
NA,"Metadata Link","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Revision Policy","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Tags","General, Budget, Expenditures",NA,NA,NA
NA,"Datasource","Ministry of Treasury and Finance",NA,NA,NA
NA,"Metadata Link","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Revision Policy","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Tags","General, Budget, Expenditures",NA,NA,NA
NA,"Datasource","Ministry of Treasury and Finance",NA,NA,NA
NA,"Metadata Link","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Revision Policy","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Tags","General, Budget, Expenditures",NA,NA,NA
NA,"Datasource","Ministry of Treasury and Finance",NA,NA,NA
NA,"Metadata Link","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Revision Policy","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Tags","General, Budget, Expenditures",NA,NA,NA
NA,"Datasource","Ministry of Treasury and Finance",NA,NA,NA
NA,"Metadata Link","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Revision Policy","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Tags","General, Budget, Expenditures",NA,NA,NA
NA,"Datasource","Ministry of Treasury and Finance",NA,NA,NA
NA,"Metadata Link","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Revision Policy","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Tags","General, Budget, Expenditures",NA,NA,NA
NA,"Datasource","Ministry of Treasury and Finance",NA,NA,NA
NA,"Metadata Link","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Revision Policy","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Tags","General, Budget, Expenditures",NA,NA,NA
NA,"Datasource","Ministry of Treasury and Finance",NA,NA,NA
NA,"Metadata Link","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Revision Policy","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Tags","General, Budget, Expenditures",NA,NA,NA
NA,"Datasource","Ministry of Treasury and Finance",NA,NA,NA
NA,"Metadata Link","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Revision Policy","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Tags","General, Budget, Expenditures",NA,NA,NA
NA,"Datasource","Ministry of Treasury and Finance",NA,NA,NA
NA,"Metadata Link","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Revision Policy","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Tags","General, Budget, Expenditures",NA,NA,NA
NA,"Datasource","Ministry of Treasury and Finance",NA,NA,NA
NA,"Metadata Link","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Revision Policy","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Tags","General, Budget, Expenditures",NA,NA,NA
NA,"Datasource","Ministry of Treasury and Finance",NA,NA,NA
NA,"Metadata Link","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Revision Policy","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Tags","General, Budget, Expenditures",NA,NA,NA
NA,"Datasource","Ministry of Treasury and Finance",NA,NA,NA
NA,"Metadata Link","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Revision Policy","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Tags","General, Budget, Expenditures",NA,NA,NA
NA,"Datasource","Ministry of Treasury and Finance",NA,NA,NA
NA,"Metadata Link","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Revision Policy","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Tags","General, Budget, Expenditures",NA,NA,NA
NA,"Datasource","Ministry of Treasury and Finance",NA,NA,NA
NA,"Metadata Link","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Revision Policy","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Tags","General, Budget, Expenditures",NA,NA,NA
NA,"Datasource","Ministry of Treasury and Finance",NA,NA,NA
NA,"Metadata Link","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Revision Policy","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Tags","General, Budget, Expenditures",NA,NA,NA
NA,"Datasource","Ministry of Treasury and Finance",NA,NA,NA
NA,"Metadata Link","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Revision Policy","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Tags","General, Budget, Expenditures",NA,NA,NA
NA,"Datasource","Ministry of Treasury and Finance",NA,NA,NA
NA,"Metadata Link","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Revision Policy","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Tags","General, Budget, Expenditures",NA,NA,NA
NA,"Datasource","Ministry of Treasury and Finance",NA,NA,NA
NA,"Metadata Link","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Revision Policy","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Tags","General, Budget, Expenditures",NA,NA,NA
NA,"Datasource","Ministry of Treasury and Finance",NA,NA,NA
NA,"Metadata Link","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Revision Policy","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Tags","General, Budget, Expenditures",NA,NA,NA
NA,"Datasource","Ministry of Treasury and Finance",NA,NA,NA
NA,"Metadata Link","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Revision Policy","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Tags","General, Budget, Expenditures",NA,NA,NA
NA,"Datasource","Ministry of Treasury and Finance",NA,NA,NA
NA,"Metadata Link","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Revision Policy","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Tags","General, Budget, Expenditures",NA,NA,NA
NA,"Datasource","Ministry of Treasury and Finance",NA,NA,NA
NA,"Metadata Link","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Revision Policy","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Tags","General, Budget, Expenditures",NA,NA,NA
NA,"Datasource","Ministry of Treasury and Finance",NA,NA,NA
NA,"Metadata Link","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Revision Policy","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Tags","General, Budget, Expenditures",NA,NA,NA
NA,"Datasource","Ministry of Treasury and Finance",NA,NA,NA
NA,"Metadata Link","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Revision Policy","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Tags","General, Budget, Expenditures",NA,NA,NA
NA,"Datasource","Ministry of Treasury and Finance",NA,NA,NA
NA,"Metadata Link","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Revision Policy","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Tags","General, Budget, Expenditures",NA,NA,NA
NA,"Datasource","Ministry of Treasury and Finance",NA,NA,NA
NA,"Metadata Link","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Revision Policy","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Tags","General, Budget, Expenditures",NA,NA,NA
NA,"Datasource","Ministry of Treasury and Finance",NA,NA,NA
NA,"Metadata Link","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Revision Policy","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Tags","General, Budget, Expenditures",NA,NA,NA
NA,"Datasource","Ministry of Treasury and Finance",NA,NA,NA
NA,"Metadata Link","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Revision Policy","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Tags","General, Budget, Expenditures",NA,NA,NA
NA,"Datasource","Ministry of Treasury and Finance",NA,NA,NA
NA,"Metadata Link","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Revision Policy","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Tags","General, Budget, Expenditures",NA,NA,NA
NA,"Datasource","Ministry of Treasury and Finance",NA,NA,NA
NA,"Metadata Link","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Revision Policy","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Tags","General, Budget, Expenditures",NA,NA,NA
NA,"Datasource","Ministry of Treasury and Finance",NA,NA,NA
NA,"Metadata Link","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Revision Policy","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Tags","General, Budget, Expenditures",NA,NA,NA
NA,"Datasource","Ministry of Treasury and Finance",NA,NA,NA
NA,"Metadata Link","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Revision Policy","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Tags","General, Budget, Expenditures",NA,NA,NA
NA,"Datasource","Ministry of Treasury and Finance",NA,NA,NA
NA,"Metadata Link","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Revision Policy","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Tags","General, Budget, Expenditures",NA,NA,NA
NA,"Datasource","Ministry of Treasury and Finance",NA,NA,NA
NA,"Metadata Link","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Revision Policy","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Tags","General, Budget, Expenditures",NA,NA,NA
NA,"Datasource","Ministry of Treasury and Finance",NA,NA,NA
NA,"Metadata Link","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Revision Policy","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Tags","General, Budget, Expenditures",NA,NA,NA
NA,"Datasource","Ministry of Treasury and Finance",NA,NA,NA
NA,"Metadata Link","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Revision Policy","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Tags","General, Budget, Expenditures",NA,NA,NA
NA,"Datasource","Ministry of Treasury and Finance",NA,NA,NA
NA,"Metadata Link","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Revision Policy","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Tags","General, Budget, Expenditures",NA,NA,NA
NA,"Datasource","Ministry of Treasury and Finance",NA,NA,NA
NA,"Metadata Link","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Revision Policy","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Tags","General, Budget, Expenditures",NA,NA,NA
NA,"Datasource","Ministry of Treasury and Finance",NA,NA,NA
NA,"Metadata Link","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Revision Policy","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Tags","General, Budget, Expenditures",NA,NA,NA
NA,"Datasource","Ministry of Treasury and Finance",NA,NA,NA
NA,"Metadata Link","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Revision Policy","https://en.hmb.gov.tr/public-finance",NA,NA,NA
NA,"Tags","General, Budget, Expenditures",NA,NA,NA
